code,location,registered,envelopes,valid,Občanská demokratická strana,Řád národa - Vlastenecká unie,CESTA ODPOVĚDNÉ SPOLEČNOSTI,Česká str.sociálně demokrat.,Radostné Česko,STAROSTOVÉ A NEZÁVISLÍ,Komunistická str.Čech a Moravy,Strana zelených,"ROZUMNÍ-stop migraci,diktát.EU",Strana svobodných občanů,Blok proti islam.-Obran.domova,Občanská demokratická aliance,Česká pirátská strana,Referendum o Evropské unii,TOP 09,ANO 2011,SPR-Republ.str.Čsl. M.Sládka,Křesť.demokr.unie-Čs.str.lid.,Česká strana národně sociální,REALISTÉ,SPORTOVCI,Dělnic.str.sociální spravedl.,Svob.a př.dem.-T.Okamura (SPD),Strana Práv Občanů
509388,Arneštovice,68,54,54,3,0,0,14,0,6,2,0,0,0,0,0,3,0,3,14,0,0,0,0,0,0,9,0
561118,Bácovice,63,37,37,0,0,0,5,0,3,2,0,0,1,0,0,1,0,1,18,0,4,0,0,0,0,2,0
561126,Bělá,45,29,27,2,0,0,5,0,1,0,0,0,0,0,0,4,0,0,2,0,6,0,0,0,1,6,0
547549,Bohdalín,150,89,89,11,0,0,17,0,5,13,0,0,0,0,0,5,1,2,31,1,1,0,0,0,0,2,0
561240,Bořetice,57,43,43,6,0,0,11,0,4,5,0,1,0,1,0,0,0,0,7,0,2,0,0,0,1,5,0
509418,Bořetín,88,59,59,3,0,0,8,0,0,4,1,0,0,0,0,17,0,3,6,0,2,0,0,0,0,15,0
547581,Božejov,510,330,328,37,0,0,60,1,10,36,6,4,2,0,1,35,0,7,73,2,25,0,0,0,1,28,0
547603,Bratřice,129,78,78,5,0,0,5,0,11,9,0,0,0,0,0,6,0,0,36,0,3,0,0,0,0,3,0
547638,Budíkov,251,163,161,11,0,0,27,0,4,26,4,0,2,0,0,17,0,0,47,1,7,0,0,1,0,11,3
561312,Buřenice,178,121,119,6,0,0,17,0,17,17,0,0,0,0,0,9,0,6,31,0,6,0,1,0,0,9,0
561801,Bystrá,91,52,52,2,1,0,3,1,2,4,2,0,0,0,0,2,0,5,17,0,8,0,0,0,1,4,0
547662,Cetoraz,275,189,186,30,0,0,7,1,20,22,1,2,7,0,0,20,0,2,56,0,3,0,0,0,1,14,0
547689,Čáslavsko,92,70,70,8,0,0,13,0,2,7,1,2,1,0,0,6,0,0,18,0,8,0,0,0,0,4,0
547719,Častrov,468,294,293,24,0,0,37,0,22,37,2,1,2,0,0,20,0,12,67,1,41,0,1,0,0,26,0
547735,Čejov,446,308,305,27,0,0,34,0,9,59,3,0,1,0,0,30,1,12,79,0,19,0,4,0,0,25,2
529826,Čelistná,78,56,56,3,0,0,5,0,2,7,0,2,0,0,0,3,0,4,16,1,10,0,0,0,0,3,0
561142,Černov,90,67,67,4,0,0,11,0,3,4,0,0,2,0,0,7,1,2,18,0,6,0,2,0,1,5,1
547760,Černovice,1 411,825,813,60,3,2,113,1,45,95,11,3,13,1,0,94,0,26,228,1,51,0,3,1,1,56,5
547778,Červená Řečice,817,489,485,67,1,0,67,0,28,34,4,5,5,0,1,36,0,18,128,6,38,0,3,2,0,41,1
598704,Čížkov,110,77,77,5,0,0,5,0,8,5,0,0,1,1,0,8,0,1,27,0,4,0,0,0,1,11,0
561924,Dehtáře,87,62,62,3,1,0,7,0,3,7,0,1,2,0,0,6,0,6,15,0,8,0,0,0,0,3,0
561932,Dobrá Voda,165,118,118,15,1,0,10,0,9,19,2,1,3,0,0,12,0,2,19,0,10,0,1,0,0,14,0
561762,Dobrá Voda u Pacova,75,56,56,13,0,0,10,0,7,2,1,0,0,0,0,2,0,6,9,1,3,0,0,0,0,2,0
551546,Dubovice,63,48,48,1,0,0,2,0,3,6,0,0,0,0,0,5,0,6,11,0,4,0,0,0,0,10,0
529869,Důl,52,39,39,0,0,0,1,0,9,8,1,0,0,0,0,4,0,0,11,0,1,0,0,0,0,4,0
561754,Eš,53,36,36,5,0,0,2,0,8,3,0,0,0,0,1,5,1,0,8,0,0,0,0,0,1,2,0
547883,Hojanovice,86,63,63,6,0,0,8,0,5,10,1,0,0,0,0,10,0,0,11,0,6,0,1,0,1,4,0
561096,Hojovice,70,59,59,8,0,0,9,0,1,1,1,0,0,0,0,3,0,0,18,0,9,0,1,0,0,8,0
547913,Horní Cerekev,1 495,945,935,124,4,0,77,0,35,77,11,12,16,4,0,104,3,38,246,7,85,0,4,5,1,79,3
551589,Horní Rápotice,128,101,101,3,0,0,12,0,4,7,1,0,1,0,0,14,0,1,23,0,14,0,2,0,0,19,0
547930,Horní Ves,234,148,144,4,0,0,14,0,6,17,4,0,4,0,0,16,0,3,50,0,9,1,2,0,1,13,0
547948,Hořepník,518,304,297,18,0,1,39,0,17,39,2,2,2,0,0,41,0,11,80,0,10,0,3,0,3,27,2
547956,Hořice,170,124,124,9,0,1,7,0,6,25,0,0,1,0,0,9,0,5,33,0,22,0,1,0,1,4,0
547999,Humpolec,8 810,5 292,5 258,610,14,2,551,6,125,537,65,40,77,3,7,577,6,216,1 508,5,321,2,20,13,11,534,8
561339,Chýstovice,37,31,31,0,0,0,11,0,0,2,1,0,0,0,0,1,0,1,7,0,5,0,0,0,0,3,0
561321,Chyšná,84,32,32,1,1,0,1,0,6,2,0,0,0,0,0,1,0,0,11,0,4,0,0,1,0,4,0
561461,Jankov,31,27,27,1,0,0,2,0,5,0,0,2,0,0,0,6,0,2,5,0,1,0,0,0,0,2,1
548073,Ježov,53,43,43,3,0,0,5,0,0,2,0,0,0,0,0,7,0,7,12,1,2,0,0,0,0,4,0
548081,Jiřice,708,472,470,38,0,1,51,0,36,59,5,4,10,0,2,43,0,6,140,4,30,1,1,0,1,38,0
548090,Kaliště,287,185,180,17,0,1,21,2,6,20,1,3,1,0,0,18,0,2,47,1,14,0,6,0,1,19,0
548103,Kámen,219,133,132,22,0,0,11,0,25,6,1,0,3,0,0,7,0,3,31,1,10,0,1,0,0,9,2
548111,Kamenice nad Lipou,3 124,1 804,1 797,174,1,1,238,1,52,217,17,16,27,0,2,245,2,107,453,3,79,0,6,2,0,152,2
548120,Kejžlice,291,188,188,25,0,0,24,0,10,15,2,4,8,0,1,17,0,4,46,0,13,0,1,0,0,18,0
548146,Koberovice,137,91,89,3,0,0,15,0,7,9,1,1,1,0,0,4,1,0,39,0,5,0,0,0,0,3,0
598712,Kojčice,260,198,198,21,0,0,19,0,6,15,2,0,1,0,0,22,0,16,55,0,32,0,2,1,0,5,1
548162,Komorovice,140,105,105,2,0,0,9,0,3,15,2,0,2,0,1,18,0,4,26,0,13,0,0,0,0,10,0
548171,Košetice,574,347,346,36,1,0,48,0,48,14,3,0,7,0,0,19,0,12,105,1,17,0,3,0,2,29,1
561371,Krasíkovice,96,79,79,6,0,0,7,0,6,4,0,0,1,0,0,5,0,0,21,0,11,0,0,0,2,16,0
548201,Křeč,196,119,118,8,0,0,15,1,6,9,1,1,1,0,0,9,0,4,42,0,8,0,0,0,0,13,0
548219,Křelovice,276,177,176,15,0,0,34,0,7,16,3,0,1,0,0,22,0,7,50,1,6,0,0,0,0,13,1
548227,Křešín,116,63,63,14,0,0,8,0,4,7,1,0,2,0,0,5,0,0,12,0,5,0,0,0,0,5,0
548235,Leskovice,85,55,55,8,0,0,11,0,3,7,0,1,0,0,0,7,0,6,8,1,0,0,0,0,0,3,0
562041,Lesná,57,48,48,4,0,0,1,0,12,2,2,0,0,0,0,3,0,2,15,0,7,0,0,0,0,0,0
561282,Lhota-Vlasenice,74,57,55,7,0,0,12,0,1,1,1,0,0,0,0,10,0,2,11,0,4,0,0,0,0,6,0
598721,Libkova Voda,207,143,141,24,1,0,19,1,7,7,3,0,1,0,0,13,0,6,38,0,9,0,0,3,0,9,0
561100,Lidmaň,259,109,107,13,0,0,10,1,8,11,2,2,6,0,0,16,0,1,22,0,10,0,0,0,1,4,0
561266,Litohošť,52,37,37,2,0,0,3,0,6,0,1,0,0,0,0,5,0,0,12,0,3,0,0,0,1,4,0
548332,Lukavec,851,557,554,35,0,0,70,0,47,80,5,4,1,0,1,54,1,23,133,0,70,0,1,1,1,24,3
561347,Martinice u Onšova,49,42,42,1,0,0,6,0,4,2,0,0,0,0,0,8,0,1,11,0,2,0,0,0,1,6,0
548367,Mezilesí,104,74,74,11,0,0,8,0,12,5,0,0,0,0,0,4,0,7,18,0,5,0,0,0,0,4,0
529834,Mezná,114,83,83,10,0,0,16,0,3,10,0,3,2,0,0,9,0,5,16,0,4,0,0,0,0,5,0
548383,Mladé Bříště,202,150,149,9,0,0,18,0,9,16,5,0,1,0,0,22,0,8,33,0,16,0,0,0,1,10,1
548391,Mnich,334,223,222,12,2,0,13,0,7,52,4,1,4,0,0,28,0,13,64,0,4,0,2,0,1,14,1
548405,Moraveč,168,103,102,2,0,0,7,0,10,9,3,2,2,0,0,18,0,11,23,1,5,0,0,0,2,6,1
561819,Mysletín,95,78,78,14,0,0,8,0,3,6,1,1,4,0,0,13,0,7,18,0,0,0,1,0,0,2,0
561177,Nová Buková,85,76,76,14,0,0,9,0,8,3,1,1,2,0,0,4,0,0,24,0,0,0,0,0,0,10,0
548456,Nová Cerekev,933,616,613,46,2,0,79,0,73,51,1,3,7,0,2,34,0,20,185,2,61,1,0,0,0,45,1
548464,Nový Rychnov,809,522,518,51,2,0,67,1,20,38,8,4,11,0,1,72,0,22,123,0,33,1,3,1,1,55,4
548472,Obrataň,656,378,378,33,0,0,41,0,29,28,7,9,3,0,0,44,0,16,105,1,19,0,1,1,0,40,1
561967,Olešná,465,330,330,52,0,0,25,2,2,18,0,1,4,0,0,38,0,11,113,2,33,1,2,1,0,25,0
537691,Ondřejov,128,100,100,8,0,0,26,0,3,8,1,1,2,0,0,9,0,7,22,0,11,0,0,0,1,1,0
548502,Onšov,194,126,123,8,0,0,22,0,2,19,4,0,0,0,1,7,0,7,35,0,8,1,1,0,0,6,2
548511,Pacov,3 917,2 419,2 401,240,3,0,223,2,457,202,28,7,38,0,2,251,0,79,595,5,116,0,13,5,4,126,5
561916,Pavlov,101,69,69,12,0,0,10,0,4,4,0,4,0,0,0,1,0,2,27,0,2,0,0,0,0,3,0
547492,Pelhřimov,12 875,8 425,8 370,1 124,13,2,1 112,6,317,591,95,37,151,5,3,931,4,425,2 265,18,620,0,42,19,10,571,9
548545,Píšť,61,45,44,5,0,0,8,0,5,3,0,0,0,0,0,1,0,0,17,2,3,0,0,0,0,0,0
548561,Počátky,2 128,1 321,1 312,100,1,1,159,1,66,129,19,12,12,2,0,120,1,43,386,4,82,1,9,4,10,147,3
561436,Polesí,70,60,60,1,0,0,8,0,2,4,2,1,0,0,0,7,0,2,18,2,3,0,0,0,0,10,0
548600,Pošná,192,126,126,6,3,0,24,0,28,8,2,0,0,0,0,11,0,0,28,1,11,0,0,0,0,4,0
537829,Proseč,70,57,57,3,0,0,11,0,0,12,2,0,2,0,1,1,0,0,17,0,1,0,0,0,0,7,0
561941,Proseč pod Křemešníkem,70,54,51,14,0,0,2,0,8,0,0,0,1,0,0,4,0,3,9,0,5,0,0,0,0,5,0
598755,Putimov,227,164,164,16,0,0,23,0,5,11,2,2,7,0,0,19,0,15,40,1,11,0,3,0,0,9,0
561789,Rodinov,175,114,114,6,0,0,9,0,6,9,1,2,1,0,0,17,0,3,36,0,7,0,0,0,0,17,0
561274,Rovná,49,38,38,3,1,0,1,0,1,5,0,0,1,0,0,2,0,3,8,0,3,0,0,0,0,10,0
562009,Rynárec,478,349,346,35,0,0,26,1,29,19,14,5,3,0,1,40,0,25,99,0,24,0,1,1,0,19,4
548715,Řečice,114,84,84,1,0,0,3,0,1,12,0,1,9,0,0,9,0,12,21,1,7,0,1,0,1,4,1
548731,Salačova Lhota,105,76,76,5,0,0,6,0,21,6,2,0,2,0,0,4,0,1,19,0,8,0,0,0,0,1,1
548740,Samšín,133,102,102,2,0,1,9,0,23,8,1,0,0,0,0,6,0,2,35,0,7,0,0,0,0,8,0
548766,Sedlice,129,98,98,12,0,0,9,0,9,2,2,0,3,0,0,12,0,6,31,0,6,0,0,0,0,6,0
548774,Senožaty,572,378,375,27,0,0,36,0,25,26,7,0,8,0,0,35,1,19,128,0,37,0,0,1,0,25,0
561843,Staré Bříště,49,41,40,0,0,0,2,0,0,2,0,0,3,0,0,7,0,2,15,0,3,0,3,0,0,2,1
561452,Stojčín,87,61,61,0,0,1,9,0,5,6,3,3,1,0,0,4,0,0,14,0,0,0,1,1,0,12,1
537594,Střítež,90,58,57,4,0,0,8,0,2,7,1,0,0,0,0,2,0,2,16,0,9,0,0,0,0,6,0
561487,Střítež pod Křemešníkem,52,41,41,3,0,0,12,0,0,2,0,0,1,0,0,4,0,1,8,0,4,0,0,0,0,5,1
598763,Svépravice,100,72,72,5,0,0,10,0,2,9,0,2,0,0,0,10,0,0,27,1,3,0,0,0,0,3,0
598771,Syrov,41,32,32,0,0,0,2,0,0,1,0,0,0,1,0,1,0,0,13,0,0,0,0,0,0,14,0
561355,Těchobuz,67,50,50,1,0,0,8,0,19,1,0,5,0,0,0,1,0,1,10,1,1,0,0,1,0,1,0
548936,Těmice,352,230,229,25,0,0,31,0,11,23,0,2,3,0,1,12,0,11,83,1,7,0,0,0,0,19,0
537608,Ústrašín,187,152,150,25,0,0,9,0,4,19,0,4,1,0,0,8,0,3,52,1,8,0,0,0,0,16,0
548987,Útěchovice,55,38,38,3,0,0,7,0,1,6,0,0,0,0,0,2,0,1,13,0,2,0,0,0,0,3,0
562033,Útěchovice pod Stražištěm,83,66,66,1,0,0,7,0,9,13,0,0,1,0,0,3,0,1,17,1,6,0,3,0,0,4,0
537730,Útěchovičky,61,51,50,2,0,0,9,0,11,2,0,0,2,0,0,0,0,1,13,1,6,0,1,0,0,2,0
549002,Včelnička,176,121,121,8,0,0,10,2,3,15,1,0,4,0,1,10,0,5,48,0,2,0,2,0,0,10,0
549011,Velká Chyška,231,165,164,3,0,0,15,1,38,23,2,1,0,0,0,10,0,6,49,2,5,0,0,0,0,8,1
549045,Velký Rybník,152,92,92,18,0,0,6,0,7,11,1,1,0,0,0,9,0,4,23,0,2,0,0,1,0,8,1
549053,Veselá,194,127,126,13,0,0,9,0,1,19,0,1,2,0,0,18,0,0,30,1,19,0,0,1,0,12,0
549061,Věžná,105,83,83,5,0,0,17,1,5,6,1,0,2,1,0,7,0,2,26,0,10,0,0,0,0,0,0
549126,Vojslavice,95,66,66,1,0,0,6,0,1,8,1,0,0,0,0,8,0,1,20,0,11,0,0,0,0,9,0
599239,Vokov,133,101,100,15,1,0,5,0,2,3,1,0,2,0,0,14,0,3,28,1,5,0,3,0,1,15,1
549134,Vyklantice,134,84,83,3,0,0,8,0,3,17,0,1,3,0,0,6,0,3,35,0,2,0,0,0,0,2,0
549142,Vyskytná,558,381,376,45,0,0,59,0,19,23,1,3,1,1,0,42,0,7,111,1,14,0,6,2,3,36,2
561771,Vysoká Lhota,21,19,19,4,0,0,1,0,1,2,0,0,1,0,0,1,0,1,2,0,6,0,0,0,0,0,0
561797,Vystrkov,222,175,175,35,0,0,22,0,4,19,2,1,2,0,1,15,0,8,36,1,11,0,1,2,0,15,0
549177,Zachotín,198,138,137,32,0,0,10,1,4,8,1,0,0,1,0,14,0,15,28,0,11,0,1,0,0,11,0
561975,Zajíčkov,190,141,139,13,0,0,7,1,9,17,3,0,1,0,0,10,0,8,47,0,9,0,0,0,1,12,1
561363,Zhořec,88,59,59,3,0,0,9,0,9,13,0,1,0,0,0,2,0,0,12,0,3,0,0,0,0,7,0
598666,Zlátenka,38,25,25,3,0,0,4,0,2,0,0,0,0,0,0,0,0,2,2,1,3,0,0,0,0,8,0
549215,Želiv,968,614,613,77,0,0,56,1,35,56,8,5,11,1,1,74,0,43,142,1,50,0,3,0,0,48,1
561908,Žirov,59,38,38,2,0,0,9,0,0,3,2,0,0,0,0,0,0,3,16,1,1,0,0,0,0,1,0
549231,Žirovnice,2 295,1 406,1 398,158,4,2,172,4,45,154,15,11,15,0,3,137,0,35,395,4,55,0,7,2,0,176,4
